PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.5 uM,Standard Deviation,Inhibition at 8.5 uM [1],Inhibition at 8.5 uM [2],Inhibition at 8.5 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized average percent inhibition of the counterscreen at a compound concentration of 8.5 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 1.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 2.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
28,17508015,776240,CCCC1=CN=C(C=C1)C2=CC=C(C=C2)/C=C/C(=O)O,Active,92,,,91.11,0.0986219,91.1675,90.9698,91.1889
29,17511460,1238357,CC1=C(C(=C(N=C1C)SCC(=O)NC2=NC3=CC=CC=C3S2)C#N)C,Active,92,,,90.95,1.13459,91.4308,92.0287,89.3792
30,17433901,1587345,CC1C/C(=C\C2=CN=CC=C2)/C(=O)/C(=C/C3=CN=CC=C3)/C1,Active,92,,,90.72,0.36863,90.4744,90.4359,91.2364
31,49648806,24747923,C1CCC(CC1)(C#CC2=CC3=C(C=C2)SC4=CC=CC=C4C3=O)O,Active,91,,,90.02,0.795754,88.9109,90.7275,90.4311
32,7971757,3554231,CC1CCCN(C1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)Cl,Active,91,,,89.69,0.843746,89.9089,90.5901,88.5596
33,57267825,5161265,CC1=CC(=C(N1CC2CCCO2)C)C(=O)COC(=O)C3=CC=CC=C3O,Active,91,,,89.4,0.763294,88.3431,90.1242,89.7261
34,24831169,135519870,CC1=CC(=C(N1CCOC)C)C2=NNC(=NC3CC3)SC2.Cl,Active,90,,,89.22,1.42555,90.9856,89.1767,87.4945
35,49646648,917183,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O,Active,90,,,88.95,2.88254,88.2807,92.7613,85.7951
36,89854331,260168,C1CCCN(CC1)N=CC2=NC3=CC=CC=C3C=C2,Active,90,,,88.9,0.790998,87.8152,89.2024,89.6802
37,49648796,24747913,CC1=CC2=C(C=C1C)SC3=C(C2=O)C=C(C=C3)C#CC4(CCCCC4)O,Active,90,,,88.86,1.38973,89.9459,86.8976,89.734
