PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 3.6 uM,Standard Deviation,Inhibition at 3.6 uM [1],Inhibition at 3.6 uM [2],Inhibition at 3.6 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Average percent inhibition of the counterscreen at a compound concentration of 3.6 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the counterscreen at a compound concentration of 3.6 uM; replicate 1.,Percent inhibition of the counterscreen at a compound concentration of 3.6 uM; replicate 2.,Percent inhibition of the counterscreen at a compound concentration of 3.6 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
24,92763324,91467,CC1CC(CC(C1=O)C(CC2CC(=O)NC(=O)C2)O)(C)O,Active,98,,,98.13,0.508272,97.8611,98.8422,97.688
25,92763411,104830,CC1CCOC(=O)C=CC=CC(=O)OC2CC3C4(C2(C5(CCC(=CC5O3)C)COC(=O)C1O)C)CO4,Active,98,,,98.08,0.632416,97.2782,98.8247,98.1283
26,92763420,5370239,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)/C=C(\C)/C(C)C)(OC5)C(=O)OC)O)O)C)O,Active,98,,,97.93,0.471312,97.501,98.5843,97.6971
27,26731888,644215,C1=CC(=CC(=C1)Cl)NC2=NC=CC(=N2)C3=CC(=NC=C3)NCCCO,Active,98,,,97.92,0.345495,98.0438,98.2665,97.4481
28,26666751,3580213,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=S)N,Active,98,,,97.91,0.303514,98.2267,98.0147,97.5036
29,26664933,42640,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],Active,98,,,97.9,0.440022,97.5702,98.5183,97.6003
30,92763416,529495,CC1=CC2C(CC1OC(=O)CC(C)C)(C3(C(C(C(C34CO4)O2)O)OC(=O)C)C)COC(=O)C,Active,98,,,97.83,0.286954,97.4285,98.0666,98.0027
31,92763344,434610,C1=C(C2=C(N1)C(=NC=N2)N)C3C(C(C(O3)CO)O)O,Active,98,,,97.68,0.316891,97.5201,97.4019,98.1254
32,92764050,299645,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)O,Active,98,,,97.62,0.467861,98.2767,97.2252,97.3561
33,121286195,51361442,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CC(C)C)C(C)C)NC2=O,Active,97,,,97.5,0.141266,97.4575,97.6915,97.3538
34,92763437,45280820,CC1CC(=O)OCC23CC(C(=CC2OC4CC(C3(C45CO5)C)OC(=O)/C=C/C=CC(OCC1O)C(C)O)C)O,Active,97,,,97.47,0.408046,97.2099,98.049,97.159
35,92763449,5363794,CC1COC2(CC1OC(=O)/C=C/C3=CC=CC=C3)C4(CO4)C5CCC(CC5O2)C(=O)OC6C(C(C(C(O6)C)O)OC(=O)C)OC7C(C(C(C(O7)C)O)OC(=O)C)O,Active,97,,,97.41,0.965114,97.8635,96.0626,98.2893
36,92764147,325517,CC1C(C(=O)C2(O1)CC3C(C2OC(=O)C)(CC45N3C(=O)C(N(C4=O)C)(SS5)CO)O)(C)C,Active,97,,,97.4,0.842243,96.9762,96.6559,98.581
37,92763418,5153,C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=O)N,Active,97,,,97.29,0.0660761,97.281,97.2086,97.3701
38,92763358,3197,CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,Active,97,,,97.27,0.782258,96.3545,98.2651,97.184
39,49716130,22829045,COC1=CC=C(C=C1)S(=O)(=O)/N=C/2\C=C(C(=O)C3=CC=CC=C32)NC4=CC=C(C=C4)O,Active,97,,,97.2,0.259369,96.9204,97.1342,97.5454
40,92763433,429599,CC1C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N(C2CC3=CC=C(C=C3)OC4=C(C=CC(=C4)CC(C(=O)N1)N(C2=O)C)O)C)C)CC5=CC=C(C=C5)OC)C)C,Active,97,,,97.18,0.440844,97.5344,97.4554,96.5622
41,56422677,659940,CC1CN(CCN1C2=CC(=CC=C2)OC)C3=NC=NC4=C3NC5=C4C=C(C=C5)F,Active,97,,,97.15,0.409623,97.3413,97.5296,96.5819
42,56422424,25102425,CC[C@H]1CN2CCC3=CC(=C(C=C3C2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.O.Cl,Active,97,,,97.15,0.309423,96.929,97.5865,96.9312
